,updated_time,message,story,id,community,group_id,author_name,author_id,message_len,group_name
40,2021-01-28T14:21:47+0000,"Кто-то уже успел забрать себе разделы. Но сначала нам надо подобрать референс, с которым мы будем сравнивать правильно мы ищем или нет. Поэтому давайте подберем сначала картинку для раздела ""Корпоративная культура""🧑‍💻.

👉Единственно условие - картинка должна отражать функциональность раздела. В нашем случае должна быть связь со смыслами ""культура"", ""нормативные документы""📝. 

Предлагаю каждому найти🔍 и скинуть по 3 картинки или больше( если прям вообще 🔥сакральность🔥 пробудится по максимуму). Картинки разных стилей - а вдруг нам подойдут картины Ван Гога🖼? А может всё-таки классику? Иллюстрации? Или обычные фото???",,703449897026228_703464650358086,0,703449897026228,Ляшенко Денис,100053569764332,622,Картинки для соц. сети
44,2021-01-27T09:12:48+0000,"Данный раздел позволяет сотрудникам повышать уровень своих компетенций (свойства и способности), чтобы в будущем занять следующую ступень в системе плавающих СРП. И это не ""пустые"" слова, так как в этом разделе каждый сотрудник имеет возможность записаться на тренинг и выбрать развивающие задачи. При этом руководитель оставляет за собой право «навязать» какую-то практическую развивающую задачу сотруднику, если чувствует критичную необходимость в этом для развития сотрудника.",Ляшенко Денис updated the description of the group Биотехнологии.,1046820615813183_1046820739146504,0,1046820615813183,Ляшенко Денис,100053569764332,479,Биотехнологии
48,2021-01-29T14:00:57+0000,"Добрый день, коллеги! Высылаю расписание тренингов в рамках прохождения предварительной аттестации на 30.01.2021.             На завтра у Вас запланировано прохождение 2-х тренингов, с 12:00 часов в корпусе им. С.Радонежского (Белый Замок), в переговорной. Для прохождения некоторых тренингов Вам необходимо сдать лекции ""Основы психологии (Псисвойства)"", ""Психологическое тестирование кандидатов"", ""Эксклюзивный рекрутинг"", пожалуйста, запланируйте себе это. Все УММ для изучения мы Вам предоставим. Хорошего дня! Ждем Вас завтра в БЗ!",Ольга Бархатова uploaded a file in the group: ЦКМЖ.,228615472216472_230109438733742,0,228615472216472,Ольга Бархатова,100044814583277,536,ЦКМЖ
49,2021-01-29T12:10:15+0000,"Добрый день🤚

В рамках реализации системы ""плавающих СРП"" вы включены в программу аттестации, высылаю предварительный график (в нем также отмечены ваши ""зачеты"", полученные в рамках проведение ""дрессировок""). 

Позже в данную группу будет публиковаться информация о времени проведения аттестаций, УММ для подготовки и итоговые результаты🕒✅.

Данная аттестация направлена на диагностику ваших базовых свойств и способностей, на ее результаты мы, совместно с Научно-образовательным центром, будем описаться при составлении ваших индивидуальных программ развития📈👩‍💼",Анастасия Демьянова uploaded a file in the group: ЦКМЖ.,228615472216472_230077672070252,0,228615472216472,Анастасия Демьянова,100044432799390,563,ЦКМЖ
53,2021-09-08T16:05:46+0000,"Добрый день, при трудоустройстве в Инновационный центр сотрудника нередко ""накрывает"" 🌊огромной волной различных документов, которые ему необходимо знать для исполнения своих должностных обязанностей. Поэтому для защиты🛡вашей головы от сильных потрясений, предлагаем ознакомиться с Кратким содержанием основных и общехолдинговых нормативных регуляторов 📄(т.е. документов).
> Возможно какой-то документ был упущен😅, поэтому не стесняйтесь сказать об этом, и тогда мы сможем быстро⏳ подготовить краткое содержание недостающего документа.",Ляшенко Денис uploaded a file in the group: Первое знакомство.,755116555228831_1040301476710336,0,755116555228831,Ляшенко Денис,100053569764332,535,Первое знакомство
54,2021-09-01T08:17:57+0000,"Добрый день, когда впервые попадаешь в Инновационный центр, то очень легко в нем заблудиться😰, а особенно понять кто за что отвечает. 

Чтобы новым сотрудникам было легче встроиться в коллектив, мы подготовили упрощенный вид организационной структуры Инновационного центра. На самом же деле она немного сложнее⚙️ и постоянно меняется📈, поэтому не удивляйтесь, если не увидите в ней сотни сотрудников👩‍⚕️🧑‍💻👩‍🔬.
> Также обратите внимание на **дату предоставления**📅 (то есть создания презентации), так как за несколько месяцев всё может сильно изменится😅. Мы же в свою очередь будем обновлять♻️ презентацию по необходимости.",Ляшенко Денис uploaded a file in the group: Первое знакомство.,755116555228831_1035531177187366,0,755116555228831,Ляшенко Денис,100053569764332,623,Первое знакомство
56,2021-06-28T14:38:10+0000,"# **Добро пожаловать в социальную сеть Инновационного центра Компании ЭФКО!**

С помощью различных разделов (групп) социальной сети вы можете самостоятельно ознакомиться с жизнью и работой внутри Инновационного центра. А чтобы вы не заблудились, представляем вам **Гид по социальной сети**, который поможет вам понять, где и что можно найти.
> P.S. Если вы совсем недавно в социальной сети, не бойтесь задавать вопросы в этой группе. Мы с радостью ответим на любой ваш вопрос

## Первое знакомство

В данном разделе вы познакомитесь ключевыми документами Инновационного центра, а также найдёте Гид по социальной сети, который вы уже читаете . Поэтому возвращайтесь к этой группе в тот момент, когда заблудитесь. Она станет для вас «полярной звездой» в нашей социальной сети ;)

## В кругу Инновационного центра

В этом разделе выкладываются посты о новых сотрудниках👩‍🔬 – их первое впечатление и первые дни о работе, рассказы «о себе». Этот раздел отличный выбор, если вы хотите посмотреть с кем вы работаете или будете работать.

## Первая помощь начинающим

Компания достаточно большая и порой можно «заблудиться» не только в здании или на территории, но и даже в документах или правилах. Поэтому Компания первые месяцы уделяет особое внимание встраиванию персонала в уже сложившиеся отношения. В этом разделе можно найти:

📄 Информацию, необходимую при трудоустройстве;

🗺 Гид по территории Инновационного центра;

🗄 Общехолдинговые УММ (учебно-методические материалы);

📚 УММ для формальной ассимиляции.

## Дайджесты

В Компании сотрудники разных подразделений готовят множество дайджестов по различным тематикам. В данном разделе социальной сети можно ознакомиться с теми дайджестами📰, которые имеют прямое отношение к инновационной деятельности Компании.

## Концепции и цели инновационной деятельности

В данном разделе вы сможете ознакомиться с концепциями, описывающими причины конкурентоспособности🏆 Компании в инновационной деятельности. Но помимо концепций можно напрямую ознакомиться с деятельностью лабораторий Инновационного центра с помощью постов «о жизни» от наших начальников лабораторий и научных руководителей.

## Корпоративная культура

С помощью данного раздела можно познакомиться с корпоративной культурой⚖️, которая является одним из ключевых факторов, обеспечивающих конкурентоспособность Компании.

## Внешние научные коммуникации

В данном разделе можно найти отчеты по командировкам🧳 сотрудников и результаты поездок в различные научные центры как для обучения👨‍🏫, так и для участия в научных конференциях и выставках.

## Программы развития и аттестация

Этот раздел направлен на развитие📖 персонала Инновационного центра, поэтому здесь можно найти информацию о тренингах, курсах обучения и семинарах сторонних лекторов, графики аттестаций и материалы для аттестаций, а также результаты различных обучающих мероприятий.

## Есть новость!

В этом разделе вы можете ознакомиться  со всеми знаменательными событиями🎉 внутри Инновационного центра, а также с объявлениями о различных конкурсах и мероприятиях.",,755116555228831_911811542892664,0,755116555228831,Ляшенко Денис,100053569764332,3037,Первое знакомство
101,2021-09-05T05:08:56+0000,"Вот и лето прошло...Подводим итоги августа...⌛️🏆
По моему мнению явно ""повзрослели"" Молодид О. и Козаренко А., чему я не могу не порадоваться, поэтому по итогам месяца решено выдать Вам MakBook-и. 🥳
Ляшенко Д., тоже серьезно ""подтянулся"" в эффективности, были неплохие ""нервы событий"", но для того, чтобы этот параметр ""позеленел"" нужно их устранить) Поэтому считаю, что заслужил одну субботу в сентябре - выходной!🤩",Анна Ворожбянова uploaded a file in the group: ПСК.,622548491862569_989464621837619,0,622548491862569,Анна Ворожбянова,100045709207681,416,ПСК
104,2021-08-10T19:19:51+0000,"Добрый день, в соц.сети мы договаривались, что у каждого участника, особенно ПСК - должна быть фотография, чтобы люди Вас узнавали в лицо. Прошу устранить это в ближайшее время. Денис, надо бы проверить указано ли это в инструкции, когда создаем профиль участника!?📌
Второе уточнение - всем ПСК должна быть значима соц.сеть, это один из параметров Вашей оценки эффективности, поэтому жду под моим постом от каждого предложений, как он будет исправлять ситуацию:начиная от того какие публикации он должен публиковать еженедельно, заканчивая осознанием того, что хотя бы к каким-то публикациям вы должны себе включить в обязанность писать комментарии или просто хотя бы просматривать то, что пишут другие.☝️",,622548491862569_971283643655717,0,622548491862569,Анна Ворожбянова,100045709207681,705,ПСК
117,2021-04-05T09:38:58+0000,"Добрый день! 

Надеюсь, что следующий отчет пополнится оценками ) Напомню, что занятия по Окштейну трансформировались в написание УММ и проведение по ним занятий. А для этого нужно аттестоваться в НОЦ. Ждем вас ) 

Также на этой неделе нужно прислать фото ""зайцев"" и ""тигров"", чтобы в следующий четверг мы завершили эту работу. Если есть фото (нежные, трепетные, интимные) овощей и фруктов, присылайте )

Кроме того, близиться к завершению изучение ""Ментальной модели гендиректора..."". И это не может не радовать )",Виктория Сухорукова uploaded 2 files in the group: ПСК.,622548491862569_895453321238750,0,622548491862569,Виктория Сухорукова,100044696838497,514,ПСК
